Agriculture Examination Education Catholic Mortality Fertility 
       17.0          15        12     10.0      22.2	80.2
       45.1           6         9     84.8      22.2	83.1
       39.7           5         5     93.4      20.2	92.5
       36.5          12         7     33.8      20.3	85.8
       43.5          17        15      5.2      20.6	76.9
       35.3           9         7     90.6      26.6	76.1
       70.2          16         7     92.9      23.6	83.8
       67.8          14         8     97.2      24.9	92.4
       53.3          12         7     97.7      21.0	82.4
       45.2          16        13     91.4      24.4	82.9
       64.5          14         6     98.6      24.5	87.1
       62.0          21        12      8.5      16.5	64.1
       67.5          14         7      2.3      19.1	66.9
       60.7          19        12      4.4      22.7	68.9
       69.3          22         5      2.8      18.7	61.7
       72.6          18         2     24.2      21.2	68.3
       34.0          17         8      3.3      20.0	71.7
       19.4          26        28     12.1      20.2	55.7
       15.2          31        20      2.2      10.8	54.3
       73.0          19         9      2.8      20.0	65.1
       59.8          22        10      5.2      18.0	65.5
       55.1          14         3      4.5      22.4	65.0
       50.9          22        12     15.1      16.7	56.6
       54.1          20         6      4.2      15.3	57.4
       71.2          12         1      2.4      21.0	72.5
       58.1          14         8      5.2      23.8	74.2
       63.5           6         3      2.6      18.0	72.0
       60.8          16        10      7.7      16.3	60.5
       26.8          25        19     18.5      20.9	58.3
       49.5          15         8      6.1      22.5	65.4
       85.9           3         2     99.7      15.1	75.5
       84.9           7         6     99.7      19.8	69.3
       89.7           5         2    100.0      18.3	77.3
       78.2          12         6     99.0      19.4	70.5
       64.9           7         3     98.2      20.2	79.4
       75.9           9         9     99.1      17.8	65.0
       84.6           3         3     99.5      16.3	92.2
       63.1          13        13     96.8      18.1	79.3
       38.4          26        12      5.6      20.3	70.4
        7.7          29        11     13.8      20.5	65.7
       16.7          22        13     11.2      18.9	72.7
       17.6          35        32     16.9      23.0	64.4
       37.6          15         7      5.0      20.0	77.6
       18.7          25         7      8.6      19.5	67.6
        1.2          37        53     42.3      18.0	35.0
       46.6          16        29     50.4      18.2	44.7
       27.7          22        29     58.3      19.3	42.8
